sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
1,4874.0,13.76,2.09,-0.26,1.978,2.45
1,4742.0,19.0,2.7,-0.35,2.243,2.31
1,4888.0,11.55,1.78,-0.21,1.84,2.55
1,4813.0,11.0,2.2,-0.24,1.763,2.63
2,5280.0,1.0,0.91,0.4,-0.153,4.4
2,5388.0,0.96,1.07,0.46,-0.155,4.51
1,5674.0,1.17,0.96,0.04,0.143,4.3
1,5747.0,1.13,1.03,0.06,0.097,4.35
1,5778.0,1.25,1.04,0.09,0.196,4.26
1,5781.0,1.26,1.02,0.1,0.23,4.28
1,4157.0,25.92,1.22,-0.01,2.254,1.7
1,4979.0,8.5,2.3,-0.052,1.602,2.82
1,4980.0,8.8,2.1,-0.06,1.634,2.87
1,4816.0,12.19,1.05,-0.78,1.877,2.28
1,4893.0,10.64,0.99,-0.77,1.774,2.42
2,5098.0,4.9,1.54,-0.03,1.164,3.5
1,3100.0,0.84,0.17,0.01,-1.164,4.5
1,6252.09,1.32,1.21,0.12,0.379,4.28
3,5872.0,1.21,1.06,0.04,0.198,4.3
3,5882.0,1.24,1.06,0.04,0.233,4.31
1,5758.0,1.18,1.03,0.18,0.136,4.31
1,5787.0,1.15,1.05,0.2,0.161,4.36
5,5250.0,0.96,0.9,0.35,-0.197,4.42
5,5196.0,0.94,0.91,0.31,-0.235,4.45
5,5235.0,0.93,0.96,0.31,-0.18,4.48
1,4978.0,5.2,1.7,-0.13,1.176,3.16
1,4941.0,4.94,1.32,-0.17,1.119,3.16
3,5562.0,0.98,0.98,-0.03,-0.078,4.44
3,5577.0,0.96,0.94,-0.01,-0.095,4.34
3,5571.0,0.98,0.94,0.05,-0.06,4.45
2,4826.0,4.87,1.34,0.21,1.063,3.19
2,4792.0,2.3,1.52,0.21,1.053,3.25
1,5545.0,1.88,1.1,-0.01,0.501,3.96
1,5439.0,1.94,1.09,-0.09,0.451,3.9
1,5495.0,1.92,0.96,-0.07,0.483,3.85
2,4809.0,10.38,1.92,0.1,1.714,2.69
2,4846.0,10.5,2.49,0.0,1.73,2.63
1,4734.0,11.21,1.23,-0.11,1.76,2.41
1,4785.0,11.0,2.4,-0.06,1.778,2.35
1,5378.0,0.73,0.9,-0.05,-0.4,4.44
1,6496.0,1.22,1.27,0.29,0.29,4.37
1,6409.37,1.08,1.29,0.29,0.247,4.48
3,3678.0,0.74,0.51,0.23,-1.038,4.4
3,3665.0,0.82,0.6,0.12,-0.99,4.52
1,4095.0,32.35,1.14,-0.71,2.7,1.89
1,5008.0,0.95,0.86,0.1,-0.32,4.6
1,4864.0,0.86,0.79,0.17,-0.425,4.46
1,4649.0,8.95,1.08,-0.22,1.57,2.61
1,4796.0,14.7,1.1,0.28,2.01,2.8
2,4137.0,49.0,2.8,-1.0,3.17,1.51
1,4296.0,17.3,0.8,-0.46,1.96,1.99
1,5651.76,1.24,1.0,-0.175,0.154,4.25
1,5766.0,0.93,0.96,-0.15,-0.056,4.5
1,5087.09,0.81,0.85,0.09,-0.399,4.55
1,4414.0,11.0,0.74,-0.2,1.69,2.24
1,4519.0,11.1,0.74,0.24,1.69,2.51
1,4534.0,10.33,1.09,-0.13,1.64,2.48
1,4943.0,7.6,1.52,-0.19,1.47,2.85
1,5141.97,0.84,0.87,0.019,-0.35,4.53
