sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
1,,,,,,
1,4874.00,13.76,2.09,-0.260,1.978,2.45
1,,,2.60,,,
1,4830.00,,2.04,-0.340,,2.61
1,4415.00,0.63,0.69,,-0.874,4.69
1,4755.00,17.18,,,2.133,
1,4742.00,19.00,2.70,-0.350,2.243,2.31
1,4705.00,15.78,,-0.300,2.039,
1,4675.18,17.41,,-0.510,,
1,,,1.70,,,
1,4340.00,24.08,1.80,0.040,,1.60
1,,,,,,
1,4248.70,30.26,,,2.430,
1,4263.77,29.31,,-0.087,,
1,4255.00,27.03,1.43,-0.130,,1.80
1,4213.00,29.79,2.78,-0.020,,1.93
1,,,1.20,,,
1,4826.00,10.30,1.10,-0.320,,
1,4740.00,11.15,,,1.752,
1,4888.00,11.55,1.78,-0.210,1.840,2.55
1,4813.00,11.00,2.20,-0.240,1.763,2.63
1,,,,,,
1,,,,,,
1,4709.00,10.86,1.17,-0.290,,2.44
1,4689.46,11.22,,-0.298,,
2,,,0.90,,,
2,5282.00,1.00,,,-0.151,
2,,,,,,
2,,0.96,1.07,,,4.51
2,5280.00,1.00,0.91,0.400,-0.153,4.40
2,5338.00,0.93,0.90,0.410,,4.45
2,,,,,,
2,,,,,,
2,5388.00,0.96,1.07,0.460,-0.155,4.51
2,5518.00,0.87,0.91,0.440,-0.204,
2,,,,,,
2,5314.94,1.00,0.97,0.405,,4.43
2,,,,,,
2,5311.00,,0.90,0.430,,
2,,,1.00,0.350,,
2,,,0.91,,,
2,,,,,,
2,,,,,,
2,5255.00,,0.90,0.510,-0.150,4.40
2,5255.00,,0.90,0.510,,4.40
2,,,,,,
2,5418.00,,,0.500,,4.73
2,,,,,,
1,5765.00,,0.99,0.090,,4.46
1,,,,,,
1,,,,,,
1,5674.00,1.17,0.96,0.040,0.143,4.30
1,,,,,,
1,,,,,,
1,,,,,,
1,5760.00,,1.00,0.050,,4.35
1,,,,,,
1,5777.25,1.12,,,0.100,
1,,,,,,
1,5751.00,1.08,0.98,-0.028,0.076,
1,,,,,,
1,5747.00,1.13,1.03,0.060,0.097,4.35
1,5778.00,1.25,1.04,0.090,0.196,4.26
1,,,,,,
1,,,,,,
1,,,,,,
1,5772.00,,0.99,0.080,,
1,,,,,,
1,5674.00,,0.99,0.038,,4.36
1,,,,,,
1,,1.26,1.02,,,4.28
1,,,,,,
1,,,,,,
1,,,,,,
1,5711.97,1.16,0.98,0.074,,4.30
1,,,,,,
1,5781.00,1.26,1.02,0.100,0.230,4.28
1,,,,,,
1,5774.00,,,0.080,,4.43
1,5750.00,1.13,1.08,0.060,,4.36
1,,1.17,0.96,,,4.30
1,4364.06,32.08,,0.025,,
1,4157.00,25.92,1.22,-0.010,2.254,1.70
1,5054.00,8.00,2.00,-0.100,,
1,5076.00,,2.33,0.000,,3.08
1,5074.86,7.82,,0.097,,
1,5083.75,7.91,,,1.576,
1,4979.00,8.50,2.30,-0.052,1.602,2.82
1,4980.00,8.80,2.10,-0.060,1.634,2.87
1,3284.00,,,,,
1,,,,,,
1,,,2.10,,,
1,4076.58,1.18,,,-0.459,
1,4060.00,,0.85,,-0.370,
1,4060.00,1.35,0.85,,,
1,3993.00,1.31,0.62,,-0.403,4.00
1,4060.00,,0.85,,-0.370,
1,4816.00,12.19,1.05,-0.780,1.877,2.28
1,5025.78,9.81,,-0.616,,
1,,,,,,
1,4893.00,10.64,0.99,-0.770,1.774,2.42
1,5025.75,9.97,,,1.757,
2,5027.00,4.93,,,,
2,,,,,,
2,5069.00,,1.81,-0.010,,3.40
2,5098.00,4.90,1.54,-0.030,1.164,3.50
2,,,,,,
2,5020.00,4.97,,,1.151,
1,,,0.17,,,
1,,,0.19,,,
1,3976.24,,,,,
1,3309.00,0.37,0.35,,-1.838,4.86
1,3530.00,,0.40,,-1.720,
1,3064.00,0.28,0.11,,-2.230,4.59
1,2873.00,0.27,0.24,,-2.357,4.96
1,3381.67,,,,,
1,,,0.04,,-2.640,
1,,,0.05,,-2.590,
1,2859.00,0.32,0.29,,-2.221,4.91
1,2943.00,0.29,0.26,,-2.246,4.94
1,3243.00,0.64,0.62,,-1.388,4.62
1,3100.00,0.84,0.17,0.010,-1.164,4.50
1,2936.00,0.23,0.20,,-2.444,5.01
1,,,0.02,,,
1,,,,,,
1,3021.00,0.60,0.59,,-1.568,4.65
1,,,0.02,,,
1,,,,,,
1,,,,,,
1,2825.00,0.22,0.19,,-2.561,5.03
3,,,0.48,,,
3,8868.67,,,,,
3,10868.00,0.34,,,,
3,2829.00,0.17,0.12,,,5.07
3,10645.00,2.88,,-0.092,,3.91
3,29564.00,0.20,0.48,,,5.51
1,3592.00,0.67,0.64,,-1.168,4.59
1,4085.00,0.62,,,-1.021,
1,4033.00,0.64,0.63,,-1.009,4.62
1,4045.00,,0.60,,,
1,,,1.11,,,
1,,,,,,
1,6695.00,1.51,1.42,,0.617,4.23
1,,,,,,
1,,,,,,
1,,,,,,
1,6252.09,1.32,1.21,0.120,0.379,4.28
1,,,,,,
1,6284.00,1.23,1.22,0.120,,4.35
1,,,,,,
1,6331.00,1.41,1.93,0.190,,4.43
1,6300.00,1.13,1.16,0.245,,4.50
1,6211.27,1.34,,,0.381,
1,,1.13,1.16,,,
1,4482.90,16.97,,-0.200,,
1,,,,,,
